comparison,split,metric,delta,ci95_low,ci95_high,notes
B_to_G,shallow_owa,primitive_macro_f1,0.094,0.060,0.130,8-seed paired bootstrap
B_to_G,shallow_owa,r2p_macro_f1,-0.020,-0.062,0.020,8-seed paired bootstrap
B_to_G,shallow_owa,contradiction_recall,0.188,0.023,0.364,8-seed paired bootstrap
B_to_G,shallow_owa,contradiction_f1,0.195,0.072,0.316,8-seed paired bootstrap
B_to_G,shallow_owa,contradiction_r2p_f1,-0.273,-0.443,-0.097,8-seed paired bootstrap
B_to_G,shallow_owa,entailment_refuted_recall,0.073,-0.062,0.281,8-seed paired bootstrap
G_to_C,shallow_owa,primitive_macro_f1,0.116,0.080,0.151,8-seed paired bootstrap
G_to_C,shallow_owa,r2p_macro_f1,0.110,0.064,0.160,8-seed paired bootstrap
G_to_C,shallow_owa,contradiction_recall,0.273,0.148,0.398,8-seed paired bootstrap
G_to_C,shallow_owa,contradiction_f1,0.227,0.099,0.380,8-seed paired bootstrap
G_to_C,shallow_owa,contradiction_r2p_f1,0.483,0.239,0.733,8-seed paired bootstrap
G_to_C,shallow_owa,entailment_refuted_recall,0.333,-0.031,0.688,8-seed paired bootstrap
B_to_C,shallow_owa,primitive_macro_f1,0.209,0.182,0.237,8-seed paired bootstrap
B_to_C,shallow_owa,r2p_macro_f1,0.091,0.074,0.110,8-seed paired bootstrap
B_to_C,shallow_owa,contradiction_recall,0.460,0.278,0.636,8-seed paired bootstrap
B_to_C,shallow_owa,contradiction_f1,0.422,0.277,0.561,8-seed paired bootstrap
B_to_C,shallow_owa,entailment_refuted_recall,0.406,0.167,0.677,8-seed paired bootstrap
C_to_D,shallow_owa,primitive_macro_f1,-0.050,-0.094,-0.016,8-seed paired bootstrap
C_to_D,shallow_owa,r2p_macro_f1,-0.033,-0.059,-0.011,8-seed paired bootstrap
C_to_D,shallow_owa,contradiction_recall,-0.006,-0.062,0.051,8-seed paired bootstrap
C_to_D,shallow_owa,contradiction_f1,-0.035,-0.077,0.003,8-seed paired bootstrap
C_to_D,shallow_owa,entailment_refuted_recall,-0.073,-0.188,0.010,8-seed paired bootstrap
G_to_C,deep_cwa,primitive_macro_f1,0.097,0.070,0.125,8-seed paired bootstrap
G_to_C,deep_cwa,r2p_macro_f1,0.091,0.048,0.136,8-seed paired bootstrap
G_to_C,deep_cwa,contradiction_recall,0.307,0.182,0.420,8-seed paired bootstrap
G_to_C,deep_cwa,contradiction_f1,0.245,0.146,0.354,8-seed paired bootstrap
G_to_C,deep_cwa,entailment_refuted_recall,0.398,0.057,0.761,8-seed paired bootstrap
